timestamp,asn,csp,tls-grab,hashes,cdn-name,port,url,input,location,title,scheme,error,webserver,response-body,content-type,method,host,path,favicon-mmh3,final-url,response-header,request,response-time,jarm,chain-status-codes,a,cnames,technologies,chain,words,lines,status-code,content-length,failed,vhost,websocket,cdn,http2,pipeline
2023-08-04 15:23:24.409777 +0800 CST m=+1.379578501,<nil>,<nil>,<nil>,map[],,80,http://39.108.12.62:80,39.108.12.62,http://39.108.12.62/webroot/decision/login,302 Found,http,,nginx/1.19.5,,text/html,GET,39.108.12.62,/,,,,,94.334625ms,,[],[39.108.12.62],[],[Nginx:1.19.5],[],3,8,302,145,false,false,false,false,false,false
2023-08-04 15:23:24.457745 +0800 CST m=+1.427547168,<nil>,<nil>,<nil>,map[],,8081,http://60.205.191.213:8081,60.205.191.213:8081,,,http,,,,text/html,GET,60.205.191.213,/,,,,,21.084834ms,,[],[60.205.191.213],[],[Java],[],40,11,200,388,false,false,false,false,false,false
2023-08-04 15:23:24.468194 +0800 CST m=+1.437995876,<nil>,<nil>,<nil>,map[],,8080,http://47.104.13.189:8080,47.104.13.189:8080,,,http,,,,text/html,GET,47.104.13.189,/,,,,,39.651709ms,,[],[47.104.13.189],[],[],[],4,5,200,147,false,false,false,false,false,false
2023-08-04 15:23:24.480721 +0800 CST m=+1.450523001,<nil>,<nil>,<nil>,map[],,443,https://43.155.109.10:443,43.155.109.10,https://43.155.109.10/admin,302 Found,https,,nginx/1.20.1,,text/html,GET,43.155.109.10,/,,,,,218.686125ms,,[],[43.155.109.10],[],[Nginx:1.20.1],[],3,8,302,145,false,false,false,false,false,false
2023-08-04 15:23:24.482128 +0800 CST m=+1.451930376,<nil>,<nil>,<nil>,map[],,80,http://60.247.18.21:80,60.247.18.21,,,http,,nginx,,text/html,GET,60.247.18.21,/,,,,,39.54ms,,[],[60.247.18.21],[],[Nginx],[],4,1,200,114,false,false,false,false,false,false
2023-08-04 15:23:24.494784 +0800 CST m=+1.464586668,<nil>,<nil>,<nil>,map[],,8080,http://60.216.13.33:8080,60.216.13.33:8080,/webroot/decision,,http,,,,text/html,GET,60.216.13.33,/,,,,,39.34125ms,,[],[60.216.13.33],[],[Java],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.501671 +0800 CST m=+1.471473293,<nil>,<nil>,<nil>,map[],,80,http://60.30.245.248:80,60.30.245.248,,,http,,,,text/html,GET,60.30.245.248,/,,,,,52.777042ms,,[],[60.30.245.248],[],[],[],4,1,200,114,false,false,false,false,false,false
2023-08-04 15:23:24.517479 +0800 CST m=+1.487282001,<nil>,<nil>,<nil>,map[],,2020,http://60.2.184.154:2020,60.2.184.154:2020,/webroot/decision/login/initialization/,,http,,,,text/html,GET,60.2.184.154,/,,,,,42.452417ms,,[],[60.2.184.154],[],[],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.524784 +0800 CST m=+1.494586918,<nil>,<nil>,<nil>,map[],,50000,http://58.247.254.69:50000,58.247.254.69:50000,http://58.247.254.69:50000/webroot/decision,301 Moved Permanently,http,,nginx/1.14.0 (Ubuntu),,text/html,GET,58.247.254.69,/,,,,,62.226625ms,,[],[58.247.254.69],[],[Nginx:1.14.0 Ubuntu],[],7,8,301,194,false,false,false,false,false,false
2023-08-04 15:23:24.587684 +0800 CST m=+1.557486959,<nil>,<nil>,<nil>,map[],,8095,http://59.57.247.108:8095,59.57.247.108:8095,/webroot/decision#,,http,,,,text/html,GET,59.57.247.108,/,,,,,98.153167ms,,[],[59.57.247.108],[],[Java],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:24.639192 +0800 CST m=+1.608996168,<nil>,<nil>,<nil>,map[],,8098,http://61.164.81.197:8098,61.164.81.197:8098,http://61.164.81.197:8098/login?origin=8f0b04f3-d249-42fb-afd1-e0fce6ae2865,,http,,nginx/1.23.2,,,GET,61.164.81.197,/,,,,,130.412375ms,,[],[61.164.81.197],[],[Nginx:1.23.2],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:25.306978 +0800 CST m=+2.276789084,<nil>,<nil>,<nil>,map[],,443,https://520166dee6f5e951.cname.cyudun.net:443,520166dee6f5e951.cname.cyudun.net,,403 Forbidden,https,,nginx,,text/html,GET,58.221.177.86,/,,,,,980.875042ms,,[],[58.221.177.86],[],[Nginx],[],69,14,403,548,false,false,false,false,false,false
2023-08-04 15:23:26.856866 +0800 CST m=+3.826693834,<nil>,<nil>,<nil>,map[],,80,http://121.40.226.241:80,121.40.226.241,,,http,,,,text/html,GET,121.40.226.241,/,,,,,66.255417ms,,[],[121.40.226.241],[],[],[],4,4,200,80,false,false,false,false,false,false
2023-08-04 15:23:27.072953 +0800 CST m=+4.042783584,<nil>,<nil>,<nil>,map[],,80,http://124.70.148.200:80,124.70.148.200,/webroot/decision,,http,,,,text/html,GET,124.70.148.200,/,,,,,56.428708ms,,[],[124.70.148.200],[],[Java],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:27.08313 +0800 CST m=+4.052960709,<nil>,<nil>,<nil>,map[],,80,http://114.132.240.26:80,114.132.240.26,http://114.132.240.26/webroot/decision,301 Moved Permanently,http,,nginx/1.18.0 (Ubuntu),,text/html,GET,114.132.240.26,/,,,,,85.657625ms,,[],[114.132.240.26],[],[Nginx:1.18.0 Ubuntu],[],6,8,301,178,false,false,false,false,false,false
2023-08-04 15:23:27.085447 +0800 CST m=+4.055277334,<nil>,<nil>,<nil>,map[],,80,http://119.45.237.138:80,119.45.237.138,http://119.45.237.138/webroot/decision,301 Moved Permanently,http,,nginx/1.20.1,,text/html,GET,119.45.237.138,/,,,,,75.246ms,,[],[119.45.237.138],[],[Nginx:1.20.1],[],5,8,301,169,false,false,false,false,false,false
2023-08-04 15:23:27.311496 +0800 CST m=+4.281329668,<nil>,<nil>,<nil>,map[],,80,http://39.174.192.113:80,39.174.192.113,,,http,,nginx,,text/html,GET,39.174.192.113,/,,,,,80.862667ms,,[],[39.174.192.113],[],[Nginx PHP:7],[],4,1,200,114,false,false,false,false,false,false
2023-08-04 15:23:27.322398 +0800 CST m=+4.292231126,<nil>,<nil>,<nil>,map[],,80,http://42.192.193.199:80,42.192.193.199,/webroot/decision/login?origin=07dafa97-d6c7-4d14-b51d-ee174fbd6cba,,http,,nginx,,,GET,42.192.193.199,/,,,,,72.465542ms,,[],[42.192.193.199],[],[Nginx],[],1,1,302,0,false,false,false,false,false,false
2023-08-04 15:23:27.59324 +0800 CST m=+4.563076834,<nil>,<nil>,<nil>,map[],,9091,http://beta-report.oa.mooreelite.com:9091,beta-report.oa.mooreelite.com:9091,http://beta-report.oa.mooreelite.com:9091/webroot/decision/,301 Moved Permanently,http,,nginx/1.15.1,,text/html,GET,180.168.122.146,/,,,,,58.001834ms,,[],[180.168.122.146],[],[Nginx:1.15.1],[],6,8,301,185,false,false,false,false,false,false
